month,name_default,sku_id,sku_type,sales_count,sales_amount,refund_count,refund_amount,sales_currencies,cancellation_count
2025-09-01,1$ Premium ticket,1298023132027944980,3,1,99,0,0,"[{""presentment_currency"":""usd"",""sales_amount"":99}]",0
2025-09-01,5$ Premium ticket,1383014678002667571,3,1,499,0,0,"[{""presentment_currency"":""usd"",""sales_amount"":499}]",0
